service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GN5 SA,0,0,0,0,0,0,0,20240512,20240810
9B 7E SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
NEW N2 MF,0,0,0,0,0,0,0,20240512,20240810
3N 1N SHOW,0,0,0,0,0,0,0,20240512,20240810
I1 SU,0,0,0,0,0,0,0,20240512,20240810
T1 SA,0,0,0,0,0,0,0,20240512,20240810
Y1 SA,0,0,0,0,0,0,0,20240512,20240810
SV1 SA,0,0,0,0,0,0,0,20240512,20240810
G1 NON UI MF,0,0,0,0,0,0,0,20240512,20240810
9B SHOW HSEO,0,0,0,0,0,0,0,20240512,20240810
GR5 SA,0,0,0,0,0,0,0,20240512,20240810
GN6 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
Y4 MF,0,0,0,0,0,0,0,20240512,20240810
LM2 MF,0,0,0,0,0,0,0,20240512,20240810
GR1 MF SCH,0,0,0,0,0,0,0,20240512,20240810
SV2 NON UI,0,0,0,0,0,0,0,20240512,20240810
GR1 SA,0,0,0,0,0,0,0,20240512,20240810
GN8 MF,0,0,0,0,0,0,0,20240512,20240810
I2 SA,0,0,0,0,0,0,0,20240512,20240810
BZ2 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
RUB1 SA,0,0,0,0,0,0,0,20240512,20240810
1N 16B2 MTTF,0,0,0,0,0,0,0,20240512,20240810
5E SHOW MF,0,0,0,0,0,0,0,20240512,20240810
GN7 NON UI,0,0,0,0,0,0,0,20240512,20240810
GR2 SA,0,0,0,0,0,0,0,20240512,20240810
Y5 SU,0,0,0,0,0,0,0,20240512,20240810
GN2 MF,0,0,0,0,0,0,0,20240512,20240810
GR3 SA,0,0,0,0,0,0,0,20240512,20240810
GN9 NO SCH,0,0,0,0,0,0,0,20240512,20240810
R2 SA,0,0,0,0,0,0,0,20240512,20240810
Y5 NONUI MF,0,0,0,0,0,0,0,20240512,20240810
5E SHOW 1 WED,0,0,0,0,0,0,0,20240512,20240810
1N SHOW MF,0,0,0,0,0,0,0,20240512,20240810
B4 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
L1 SU,0,0,0,0,0,0,0,20240512,20240810
GN6 SCH MF,0,0,0,0,0,0,0,20240512,20240810
16B 1 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
R5 MF,0,0,0,0,0,0,0,20240512,20240810
GR4 MF,0,0,0,0,0,0,0,20240512,20240810
R4 MF,0,0,0,0,0,0,0,20240512,20240810
GN4 SU,0,0,0,0,0,0,0,20240512,20240810
3N 1N SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
O3 MF,0,0,0,0,0,0,0,20240512,20240810
Y1 SU,0,0,0,0,0,0,0,20240512,20240810
GN1 SU,0,0,0,0,0,0,0,20240512,20240810
7W 2 SHOW MTTF,0,0,0,0,0,0,0,20240512,20240810
5W 2 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
Y3 MF,0,0,0,0,0,0,0,20240512,20240810
5W 1 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
7E 5E HSEO,0,0,0,0,0,0,0,20240512,20240810
GN4 MF,0,0,0,0,0,0,0,20240512,20240810
LN1 MF,0,0,0,0,0,0,0,20240512,20240810
Y2 SA,0,0,0,0,0,0,0,20240512,20240810
GN5 MF,0,0,0,0,0,0,0,20240512,20240810
7W 2 SHOW WED,0,0,0,0,0,0,0,20240512,20240810
16B 2 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
R1 MF,0,0,0,0,0,0,0,20240512,20240810
9A SHOW HSEO,0,0,0,0,0,0,0,20240512,20240810
7W 7E 5E MTTF,0,0,0,0,0,0,0,20240512,20240810
B4 SCH WED,0,0,0,0,0,0,0,20240512,20240810
GN3 SA,0,0,0,0,0,0,0,20240512,20240810
L2 SA,0,0,0,0,0,0,0,20240512,20240810
BA1 MF,0,0,0,0,0,0,0,20240512,20240810
G2 NON UI MF,0,0,0,0,0,0,0,20240512,20240810
ORANGE GREEN,0,0,0,0,0,0,0,20240512,20240810
R3 MF,0,0,0,0,0,0,0,20240512,20240810
